id;name;email;password;roles;points
1;as;Keira.Gibson@gmail.com;yieldingly incidentally;commemorate meanwhile ouch;30601
2;unhealthy whether ghost;Freeda.Windler@yahoo.com;quintuple alligator;spook accountability;20408
3;govern;Beaulah.Mueller1@hotmail.com;form;doing cafe;24951
4;times;Danielle56@gmail.com;as however;inure;10003
5;not wetly;Pansy.Shields@gmail.com;diversity that overload;too geez;16931
6;neatly uh-huh;Estelle.Schinner40@gmail.com;of gah potentially;but monumental;12229
7;aw huge knickers;Giovanna66@yahoo.com;perfectly openly icy;platypus lend rich;2652
8;ha shore blah;Casey_Runolfsson@hotmail.com;advocate wherever;foolishly er;5760
9;indeed ugh phew;Hardy_Schneider59@gmail.com;where impure doorpost;upon seemingly;18479
10;through modulo;Delta_Howell@yahoo.com;expensive excitedly;gadzooks through;11099
